date,matchup,code,pitcher,hand,era,k9,ip,k,avg_pitches,exp_k,notes
2026-08-10,BOS @ TOR,BOS,Sonny Gray,RHP,2.78,7.97,119.2,106,83,4.5,Durable — 80+ pitches in 8 of his last 10 starts. | Works into the 6th regularly — 5+ IP in 10 of his last 10. | Going deep — 6+ innings in 5 of his last 6 starts. | Team has won 8 of his last 10 starts.
2026-08-10,BOS @ TOR,TOR,Jameson Taillon,RHP,5.96,8.10,80.0,72,85,4.5,
2026-08-10,NYM @ ATL,NYM,Christian Scott,RHP,3.15,11.14,74.1,92,85,5.6,"Durable — 80+ pitches in 9 of his last 10 starts. | Misses bats — 11.14 K/9, about a strikeout an inning. | Team has won 7 of his last 10 starts. | Strikeout run — 5+ K in 8 straight starts."
2026-08-10,NYM @ ATL,ATL,Bryce Elder,RHP,3.69,7.39,126.2,104,86,4.9,Rolling — 1.88 ERA over his last 4 (5 ER in 24.0 IP). | Tough on left-handed bats — .198 against (293 AB).
2026-08-10,BAL @ MIN,BAL,Trevor Rogers,LHP,4.20,7.63,115.2,98,89,4.5,Workhorse — 90+ pitches in 6 of his last 10 starts. | Works into the 6th regularly — 5+ IP in 10 of his last 10. | Going deep — 6+ innings in 5 of his last 6 starts. | Team has won 7 of his last 10 starts.
2026-08-10,BAL @ MIN,MIN,Dean Kremer,RHP,5.93,8.78,41.0,40,86,5.5,
2026-08-10,PHI @ STL,PHI,Andrew Painter,RHP,6.48,7.56,75.0,63,81,4.1,
2026-08-10,PHI @ STL,STL,Hunter Dobbins,RHP,3.60,8.10,40.0,36,87,7.5,Tough on left-handed bats — .217 against (83 AB).
2026-08-10,TEX @ LAA,TEX,MacKenzie Gore,LHP,4.55,9.79,128.2,140,90,6.7,"Workhorse — 90+ pitches in 8 of his last 10 starts. | Works into the 6th regularly — 5+ IP in 9 of his last 10. | Misses bats — 9.79 K/9, about a strikeout an inning. | Tough on right-handed bats — .217 against (369 AB)."
2026-08-10,TEX @ LAA,LAA,Reid Detmers,LHP,4.12,10.47,129.0,150,93,6.7,"Durable — 80+ pitches in 10 of his last 10 starts. | Works into the 6th regularly — 5+ IP in 8 of his last 10. | Misses bats — 10.47 K/9, about a strikeout an inning. | Rolling — 2.66 ERA over his last 4 (6 ER in 20.3 IP)."
2026-08-10,COL @ AZ,COL,Gabriel Hughes,RHP,4.25,8.49,29.2,28,83,4.9,
2026-08-10,COL @ AZ,AZ,Michael Soroka,RHP,3.07,8.67,82.0,79,86,5.4,Works into the 6th regularly — 5+ IP in 8 of his last 10. | Rolling — 2.57 ERA over his last 4 (6 ER in 21.0 IP). | Going deep — 6+ innings in 5 of his last 6 starts. | Tough on right-handed bats — .177 against (124 AB).
2026-08-10,TB @ ATH,TB,Freddy Peralta,RHP,5.37,8.90,117.1,116,94,5.2,Workhorse — 90+ pitches in 8 of his last 10 starts.
